질문,답변
"만석보유채꽃축제는 언제, 어디서 개최되는 행사인가요?","동학농민혁명의 발단이 된 정읍시 이평면 하송리 만석보 주변에는 16만평 규모의 대규모 유채꽃단지가 조성되어 있어 매년 5월 만석보유채꽃축제를 개최하고 있다. 동학농민혁명정신을 계승하고 배들평야의 아름다움을 홍보하며, 농특산물 및 먹거리 장터를 홍보 판매하여 농가소득과 연계하여 지역경제 활성화에 기여하고 있다. 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등 다채로운 공연 및 행사로 주민과 관람객에게 재미와 볼거리를 제공하고 있다."
만석보유채꽃축제의 주요 목적과 의미는 무엇인가요? 동학농민혁명정신과 농촌 아름다움을 어떻게 홍보하고 있나요?,"동학농민혁명의 발단이 된 정읍시 이평면 하송리 만석보 주변에는 16만평 규모의 대규모 유채꽃단지가 조성되어 있어 매년 5월 만석보유채꽃축제를 개최하고 있다. 동학농민혁명정신을 계승하고 배들평야의 아름다움을 홍보하며, 농특산물 및 먹거리 장터를 홍보 판매하여 농가소득과 연계하여 지역경제 활성화에 기여하고 있다. 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등 다채로운 공연 및 행사로 주민과 관람객에게 재미와 볼거리를 제공하고 있다."
"만석보유채꽃축제에서 어떤 활동이 진행되나요? 예를 들어, 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등이 어떻게 행사 일정에 포함되어 있나요?","동학농민혁명의 발단이 된 정읍시 이평면 하송리 만석보 주변에는 16만평 규모의 대규모 유채꽃단지가 조성되어 있어 매년 5월 만석보유채꽃축제를 개최하고 있다. 동학농민혁명정신을 계승하고 배들평야의 아름다움을 홍보하며, 농특산물 및 먹거리 장터를 홍보 판매하여 농가소득과 연계하여 지역경제 활성화에 기여하고 있다. 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등 다채로운 공연 및 행사로 주민과 관람객에게 재미와 볼거리를 제공하고 있다."
"만석보유채꽃축제가 지역사회와 농가소득, 지역경제에 어떤 긍정적인 영향을 미치고 있는지 설명해 주세요.","동학농민혁명의 발단이 된 정읍시 이평면 하송리 만석보 주변에는 16만평 규모의 대규모 유채꽃단지가 조성되어 있어 매년 5월 만석보유채꽃축제를 개최하고 있다. 동학농민혁명정신을 계승하고 배들평야의 아름다움을 홍보하며, 농특산물 및 먹거리 장터를 홍보 판매하여 농가소득과 연계하여 지역경제 활성화에 기여하고 있다. 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등 다채로운 공연 및 행사로 주민과 관람객에게 재미와 볼거리를 제공하고 있다."
만석보유채꽃축제에 방문하려는 관람객들이 어떤 즐거운 경험을 할 수 있을까요?,"동학농민혁명의 발단이 된 정읍시 이평면 하송리 만석보 주변에는 16만평 규모의 대규모 유채꽃단지가 조성되어 있어 매년 5월 만석보유채꽃축제를 개최하고 있다. 동학농민혁명정신을 계승하고 배들평야의 아름다움을 홍보하며, 농특산물 및 먹거리 장터를 홍보 판매하여 농가소득과 연계하여 지역경제 활성화에 기여하고 있다. 유채길 걷기, 농악국악 공연, 밸리댄스 공연 등 다채로운 공연 및 행사로 주민과 관람객에게 재미와 볼거리를 제공하고 있다."
"정읍자생화전시회는 언제, 어디서 개최되나요?","정읍자생화전시회는 전국 제일의 우리 꽃 자생화 메카인 정읍에서 매년 4월에 열리는 봄철 최고의 문화축제이다. 정읍 자생식물연구회의 주관으로 주변에서 흔히 볼 수 있는 자생화와 함께 희귀식물 및 멸종위기 식물 등을 선보이며 우리 꽃의 소중함을 널리 알리고 있다. 어린이 사생대회, 자생화 전시 및 정읍관광 블로그 대회, 자생화 사진전 등의 행사가 진행된다. 자라나는 어린 세대에게는 우리 꽃의 소중함을 일깨워주며, 관람객들에게는 고향의 향수와 이미지 부여로 기쁨과 감동을 주고 있다. 제11회 정읍자생화전시회는 4회 자생차 페스티벌과 함께 열려 축제의 흥겨움을 더하고 있다."
정읍자생화전시회의 목적은 무엇인가요? 어떻게 자생화와 우리 꽃의 소중함을 알리고 있나요?,"정읍자생화전시회는 전국 제일의 우리 꽃 자생화 메카인 정읍에서 매년 4월에 열리는 봄철 최고의 문화축제이다. 정읍 자생식물연구회의 주관으로 주변에서 흔히 볼 수 있는 자생화와 함께 희귀식물 및 멸종위기 식물 등을 선보이며 우리 꽃의 소중함을 널리 알리고 있다. 어린이 사생대회, 자생화 전시 및 정읍관광 블로그 대회, 자생화 사진전 등의 행사가 진행된다. 자라나는 어린 세대에게는 우리 꽃의 소중함을 일깨워주며, 관람객들에게는 고향의 향수와 이미지 부여로 기쁨과 감동을 주고 있다. 제11회 정읍자생화전시회는 4회 자생차 페스티벌과 함께 열려 축제의 흥겨움을 더하고 있다."
"정읍자생화전시회 기간 동안 어떤 행사와 활동이 진행되나요? 예를 들어, 어린이 사생대회, 자생화 전시, 정읍관광 블로그 대회 등이 어떻게 포함되어 있나요?","정읍자생화전시회는 전국 제일의 우리 꽃 자생화 메카인 정읍에서 매년 4월에 열리는 봄철 최고의 문화축제이다. 정읍 자생식물연구회의 주관으로 주변에서 흔히 볼 수 있는 자생화와 함께 희귀식물 및 멸종위기 식물 등을 선보이며 우리 꽃의 소중함을 널리 알리고 있다. 어린이 사생대회, 자생화 전시 및 정읍관광 블로그 대회, 자생화 사진전 등의 행사가 진행된다. 자라나는 어린 세대에게는 우리 꽃의 소중함을 일깨워주며, 관람객들에게는 고향의 향수와 이미지 부여로 기쁨과 감동을 주고 있다. 제11회 정읍자생화전시회는 4회 자생차 페스티벌과 함께 열려 축제의 흥겨움을 더하고 있다."
정읍자생화전시회가 어린 세대와 관람객들에게 어떤 가치를 전달하고 있는지 설명해 주세요.,"정읍자생화전시회는 전국 제일의 우리 꽃 자생화 메카인 정읍에서 매년 4월에 열리는 봄철 최고의 문화축제이다. 정읍 자생식물연구회의 주관으로 주변에서 흔히 볼 수 있는 자생화와 함께 희귀식물 및 멸종위기 식물 등을 선보이며 우리 꽃의 소중함을 널리 알리고 있다. 어린이 사생대회, 자생화 전시 및 정읍관광 블로그 대회, 자생화 사진전 등의 행사가 진행된다. 자라나는 어린 세대에게는 우리 꽃의 소중함을 일깨워주며, 관람객들에게는 고향의 향수와 이미지 부여로 기쁨과 감동을 주고 있다. 제11회 정읍자생화전시회는 4회 자생차 페스티벌과 함께 열려 축제의 흥겨움을 더하고 있다."
정읍평생학습축제의 정읍평생학습센터에서는 무엇을 주로 진행하나요? 어떤 종류의 프로그램과 활동을 제공하고 있나요?,"배움에는 때가 없다'라는 말처럼 교육을 받는데에는 성별, 나이 무관하게 모든 이들이 자격이 있다. 정읍평생학습센터에서는 남녀노소 누구나 참여하여 학습할 수 있고 즐길 수 있으며 다양한 프로그램을 통해 일궈낸 결과물을 발표할 수 있는 축제를 진행한다. 삶을 살아가는 즐거운 활력소가 되고 열정과 잠재되어있던 재능을 뽐내는 이 행사에서 많은 정읍시민들의 결과물을 함께 감상하고 그들의 꿈을 응원해 봄이 어떨까."
정읍평생학습축제는 어떤 목적으로 개최되나요? 교육과 학습을 강조하고 있나요?,"배움에는 때가 없다'라는 말처럼 교육을 받는데에는 성별, 나이 무관하게 모든 이들이 자격이 있다. 정읍평생학습센터에서는 남녀노소 누구나 참여하여 학습할 수 있고 즐길 수 있으며 다양한 프로그램을 통해 일궈낸 결과물을 발표할 수 있는 축제를 진행한다. 삶을 살아가는 즐거운 활력소가 되고 열정과 잠재되어있던 재능을 뽐내는 이 행사에서 많은 정읍시민들의 결과물을 함께 감상하고 그들의 꿈을 응원해 봄이 어떨까."
"정읍평생학습축제 참가자로는 누구나 참여할 수 있나요? 남성, 여성, 어린이, 노인 등 모든 연령대의 사람들이 참가할 수 있나요?","배움에는 때가 없다'라는 말처럼 교육을 받는데에는 성별, 나이 무관하게 모든 이들이 자격이 있다. 정읍평생학습센터에서는 남녀노소 누구나 참여하여 학습할 수 있고 즐길 수 있으며 다양한 프로그램을 통해 일궈낸 결과물을 발표할 수 있는 축제를 진행한다. 삶을 살아가는 즐거운 활력소가 되고 열정과 잠재되어있던 재능을 뽐내는 이 행사에서 많은 정읍시민들의 결과물을 함께 감상하고 그들의 꿈을 응원해 봄이 어떨까."
참가자들이 정읍평생학습축제를 통해 어떤 결과물을 만들고 발표하게 되나요? 어떤 종류의 작업물 또는 프로젝트가 선보이는지 설명해 주세요.,"배움에는 때가 없다'라는 말처럼 교육을 받는데에는 성별, 나이 무관하게 모든 이들이 자격이 있다. 정읍평생학습센터에서는 남녀노소 누구나 참여하여 학습할 수 있고 즐길 수 있으며 다양한 프로그램을 통해 일궈낸 결과물을 발표할 수 있는 축제를 진행한다. 삶을 살아가는 즐거운 활력소가 되고 열정과 잠재되어있던 재능을 뽐내는 이 행사에서 많은 정읍시민들의 결과물을 함께 감상하고 그들의 꿈을 응원해 봄이 어떨까."
정읍평생학습축제를 통해 어떤 가치와 이점을 얻을 수 있을까요? 정읍시민들은 어떻게 이 행사를 통해 자신의 꿈과 열정을 표현하고 개발하고 있나요?,"배움에는 때가 없다'라는 말처럼 교육을 받는데에는 성별, 나이 무관하게 모든 이들이 자격이 있다. 정읍평생학습센터에서는 남녀노소 누구나 참여하여 학습할 수 있고 즐길 수 있으며 다양한 프로그램을 통해 일궈낸 결과물을 발표할 수 있는 축제를 진행한다. 삶을 살아가는 즐거운 활력소가 되고 열정과 잠재되어있던 재능을 뽐내는 이 행사에서 많은 정읍시민들의 결과물을 함께 감상하고 그들의 꿈을 응원해 봄이 어떨까."
남원시 축제는 뭐가 있을까요?,"춘향제, 황산대첩제, 삼동굿놀이, 남원 막걸리 축제, 남원요천비치페스티벌, 동편제 국악축제, 바래봉 눈꿏축제, 바래봉 철쭉제, 남원 흥부제, 지리산 뱀사골 단풍축제가 있습니다."
"춘향제는 어떤 축제이며, 어떤 주요 행사와 활동으로 구성되어 있나요?","춘향과 몽룡의 이야기인 춘향전의 배경은 사랑의 도시 남원이다. 남원은 매년 춘향제를 열어 부덕의 상징인 춘향의 얼을 계승하고 있다. 춘향제는 한국 최초의 전국적 축제이며 가장 오래된 축제로 알려져 있다. 또한, 대한민국을 상징하는 명성이 있는 전통문화예술축제로, 한국의 순수한 사랑의 상징인 춘향을 주제로 열리는 이 축제는 춘향제향을 시작으로 남원국악예술고등학교 학생들이 펼치는 ‘뮤지컬춘향’과 우리 민족 고유의 전통 무예인 ‘용담검무’ 공연이 무대에 오를 예정이다. 완월정에서는 춘향제 개막식이 열리며 개막식 직후에는 한국 최고의 전통 미인을 뽑는 춘향제 대표 프로그램인 ‘춘향 선발대회’가 진행된다. 춘향 문화와 춘향 정신의 계승을 통한 지역문화의 화합과 춘향 문화의 세계화를 통해 사랑의 도시 남원의 정신을 드높이고 있다."
춘향제는 어떤 배경과 역사를 갖고 있나요? 왜 사랑의 도시 남원에서 개최되며 어떤 의미를 가지고 있나요?,"춘향과 몽룡의 이야기인 춘향전의 배경은 사랑의 도시 남원이다. 남원은 매년 춘향제를 열어 부덕의 상징인 춘향의 얼을 계승하고 있다. 춘향제는 한국 최초의 전국적 축제이며 가장 오래된 축제로 알려져 있다. 또한, 대한민국을 상징하는 명성이 있는 전통문화예술축제로, 한국의 순수한 사랑의 상징인 춘향을 주제로 열리는 이 축제는 춘향제향을 시작으로 남원국악예술고등학교 학생들이 펼치는 ‘뮤지컬춘향’과 우리 민족 고유의 전통 무예인 ‘용담검무’ 공연이 무대에 오를 예정이다. 완월정에서는 춘향제 개막식이 열리며 개막식 직후에는 한국 최고의 전통 미인을 뽑는 춘향제 대표 프로그램인 ‘춘향 선발대회’가 진행된다. 춘향 문화와 춘향 정신의 계승을 통한 지역문화의 화합과 춘향 문화의 세계화를 통해 사랑의 도시 남원의 정신을 드높이고 있다."
춘향제의 대표적인 프로그램 중 하나인 '춘향 선발대회'는 어떤 내용으로 진행되나요? 어떻게 한국 최고의 전통 미인을 뽑는 행사로 진행되는지 설명해 주세요.,"춘향과 몽룡의 이야기인 춘향전의 배경은 사랑의 도시 남원이다. 남원은 매년 춘향제를 열어 부덕의 상징인 춘향의 얼을 계승하고 있다. 춘향제는 한국 최초의 전국적 축제이며 가장 오래된 축제로 알려져 있다. 또한, 대한민국을 상징하는 명성이 있는 전통문화예술축제로, 한국의 순수한 사랑의 상징인 춘향을 주제로 열리는 이 축제는 춘향제향을 시작으로 남원국악예술고등학교 학생들이 펼치는 ‘뮤지컬춘향’과 우리 민족 고유의 전통 무예인 ‘용담검무’ 공연이 무대에 오를 예정이다. 완월정에서는 춘향제 개막식이 열리며 개막식 직후에는 한국 최고의 전통 미인을 뽑는 춘향제 대표 프로그램인 ‘춘향 선발대회’가 진행된다. 춘향 문화와 춘향 정신의 계승을 통한 지역문화의 화합과 춘향 문화의 세계화를 통해 사랑의 도시 남원의 정신을 드높이고 있다."
춘향 문화와 춘향 정신을 계승하고 홍보하는 춘향제는 지역문화와 어떤 관련이 있나요? 남원의 정신과 문화에 어떤 영향을 미치고 있는지 알려주세요.,"춘향과 몽룡의 이야기인 춘향전의 배경은 사랑의 도시 남원이다. 남원은 매년 춘향제를 열어 부덕의 상징인 춘향의 얼을 계승하고 있다. 춘향제는 한국 최초의 전국적 축제이며 가장 오래된 축제로 알려져 있다. 또한, 대한민국을 상징하는 명성이 있는 전통문화예술축제로, 한국의 순수한 사랑의 상징인 춘향을 주제로 열리는 이 축제는 춘향제향을 시작으로 남원국악예술고등학교 학생들이 펼치는 ‘뮤지컬춘향’과 우리 민족 고유의 전통 무예인 ‘용담검무’ 공연이 무대에 오를 예정이다. 완월정에서는 춘향제 개막식이 열리며 개막식 직후에는 한국 최고의 전통 미인을 뽑는 춘향제 대표 프로그램인 ‘춘향 선발대회’가 진행된다. 춘향 문화와 춘향 정신의 계승을 통한 지역문화의 화합과 춘향 문화의 세계화를 통해 사랑의 도시 남원의 정신을 드높이고 있다."
"춘향제는 전통문화와 예술을 어떻게 표현하며, 지역 문화의 화합과 세계화를 통해 어떤 목표를 가지고 있나요? 이 축제가 남원의 발전과 홍보에 어떤 역할을 하고 있을까요?","춘향과 몽룡의 이야기인 춘향전의 배경은 사랑의 도시 남원이다. 남원은 매년 춘향제를 열어 부덕의 상징인 춘향의 얼을 계승하고 있다. 춘향제는 한국 최초의 전국적 축제이며 가장 오래된 축제로 알려져 있다. 또한, 대한민국을 상징하는 명성이 있는 전통문화예술축제로, 한국의 순수한 사랑의 상징인 춘향을 주제로 열리는 이 축제는 춘향제향을 시작으로 남원국악예술고등학교 학생들이 펼치는 ‘뮤지컬춘향’과 우리 민족 고유의 전통 무예인 ‘용담검무’ 공연이 무대에 오를 예정이다. 완월정에서는 춘향제 개막식이 열리며 개막식 직후에는 한국 최고의 전통 미인을 뽑는 춘향제 대표 프로그램인 ‘춘향 선발대회’가 진행된다. 춘향 문화와 춘향 정신의 계승을 통한 지역문화의 화합과 춘향 문화의 세계화를 통해 사랑의 도시 남원의 정신을 드높이고 있다."
황산대첩제는 어떤 역사적 이벤트를 기념하기 위해 개최되는 축제인가요? 어떤 중요한 승리를 기리는 행사로 시작되었나요?,"황산대첩제는 고려 말 남원으로 진격한 왜구를 이성계가 섬멸한 황산대첩의 승리를 기념하기 위해서 개최된 축제다. 1986년에 처음 개최된 이 축제는 황산대첩의 의미를 되새기고 운봉읍민의 단합과 발전을 도모하기 위한 축제로 발전했다. 황산대첩제는 주요 기념행사와 각종 경기, 주민 화합 행사로 이루어진다. 행사 내용으로는 장사 씨름대회, 윷놀이, 초중고교 백일장 대회 등이 있는데 읍민의 날과 병행하면서 주민들이 함께 참여할 수 있는 민속 경기 종목을 포함시켰다. 또한 격년으로 개최되는 특징을 가지고 있으며 이성계 장군의 운봉 입성과 왜구 섬멸 전투 상황을 재현하고 있다."
황산대첩제가 처음으로 개최된 연도와 이후의 발전과정에 대해 알려주세요. 어떻게 이 축제가 발전하고 성장하였나요?,"황산대첩제는 고려 말 남원으로 진격한 왜구를 이성계가 섬멸한 황산대첩의 승리를 기념하기 위해서 개최된 축제다. 1986년에 처음 개최된 이 축제는 황산대첩의 의미를 되새기고 운봉읍민의 단합과 발전을 도모하기 위한 축제로 발전했다. 황산대첩제는 주요 기념행사와 각종 경기, 주민 화합 행사로 이루어진다. 행사 내용으로는 장사 씨름대회, 윷놀이, 초중고교 백일장 대회 등이 있는데 읍민의 날과 병행하면서 주민들이 함께 참여할 수 있는 민속 경기 종목을 포함시켰다. 또한 격년으로 개최되는 특징을 가지고 있으며 이성계 장군의 운봉 입성과 왜구 섬멸 전투 상황을 재현하고 있다."
"황산대첩제의 주요 행사와 활동에 대해 설명해 주세요. 어떤 종류의 경기와 민속 경기가 포함되어 있으며, 주민들이 어떻게 참여하는지 알려주세요.","황산대첩제는 고려 말 남원으로 진격한 왜구를 이성계가 섬멸한 황산대첩의 승리를 기념하기 위해서 개최된 축제다. 1986년에 처음 개최된 이 축제는 황산대첩의 의미를 되새기고 운봉읍민의 단합과 발전을 도모하기 위한 축제로 발전했다. 황산대첩제는 주요 기념행사와 각종 경기, 주민 화합 행사로 이루어진다. 행사 내용으로는 장사 씨름대회, 윷놀이, 초중고교 백일장 대회 등이 있는데 읍민의 날과 병행하면서 주민들이 함께 참여할 수 있는 민속 경기 종목을 포함시켰다. 또한 격년으로 개최되는 특징을 가지고 있으며 이성계 장군의 운봉 입성과 왜구 섬멸 전투 상황을 재현하고 있다."
황산대첩제는 어떤 주요 재현과 상징적인 요소를 갖고 있나요? 이성계 장군의 운봉 입성과 왜구 섬멸 전투를 어떻게 재현하고 있는지 설명해 주세요.,"황산대첩제는 고려 말 남원으로 진격한 왜구를 이성계가 섬멸한 황산대첩의 승리를 기념하기 위해서 개최된 축제다. 1986년에 처음 개최된 이 축제는 황산대첩의 의미를 되새기고 운봉읍민의 단합과 발전을 도모하기 위한 축제로 발전했다. 황산대첩제는 주요 기념행사와 각종 경기, 주민 화합 행사로 이루어진다. 행사 내용으로는 장사 씨름대회, 윷놀이, 초중고교 백일장 대회 등이 있는데 읍민의 날과 병행하면서 주민들이 함께 참여할 수 있는 민속 경기 종목을 포함시켰다. 또한 격년으로 개최되는 특징을 가지고 있으며 이성계 장군의 운봉 입성과 왜구 섬멸 전투 상황을 재현하고 있다."
"황산대첩제가 어떤 특징을 가지고 있으며, 얼마나 자주 개최되나요? 황산대첩제가 주민들과 지역 발전에 어떤 영향을 미치고 있는지 알려주세요.","황산대첩제는 고려 말 남원으로 진격한 왜구를 이성계가 섬멸한 황산대첩의 승리를 기념하기 위해서 개최된 축제다. 1986년에 처음 개최된 이 축제는 황산대첩의 의미를 되새기고 운봉읍민의 단합과 발전을 도모하기 위한 축제로 발전했다. 황산대첩제는 주요 기념행사와 각종 경기, 주민 화합 행사로 이루어진다. 행사 내용으로는 장사 씨름대회, 윷놀이, 초중고교 백일장 대회 등이 있는데 읍민의 날과 병행하면서 주민들이 함께 참여할 수 있는 민속 경기 종목을 포함시켰다. 또한 격년으로 개최되는 특징을 가지고 있으며 이성계 장군의 운봉 입성과 왜구 섬멸 전투 상황을 재현하고 있다."
삼동굿놀이는 어떤 지역에서 열리는 민속 축제인가요? 이 축제가 열리는 장소와 지역적 배경에 대해 설명해주세요.,"남원시 보절면 괴양리에는 지네에 관한 특별한 설화가 내려온다. 400여년전쯤 양촌마을아래 영계욕진이라는 명당이 있었는데 양촌마을을 바라보는 지네혈이 명당을 해칠 우려가 커, 이를 막기위해 비보숲을 조성하고 삼동굿놀이를 지내기 시작했다고 전해진다. 매년 음력 7월 15일 백중날이면 괴양리의 세 마을이 모여 기세배와 지네밟기를 하며 예를 갖추고 결속을 높였다. 전국예술경연대회이후 놀이의 원형과 장소가 약간 변하기는 했으나 괴양리의 삼동굿에서만 볼 수 있는 독특한 놀이이며, 전통을 지켜온 노력과 단합하는 모습을 보며 함께 풍수놀이를 즐길수 있는 축제이다."
삼동굿놀이는 어떤 전통적인 놀이나 행사를 포함하고 있나요? 기세배와 지네밟기 등의 행사에 대해 자세히 알려주세요.,"남원시 보절면 괴양리에는 지네에 관한 특별한 설화가 내려온다. 400여년전쯤 양촌마을아래 영계욕진이라는 명당이 있었는데 양촌마을을 바라보는 지네혈이 명당을 해칠 우려가 커, 이를 막기위해 비보숲을 조성하고 삼동굿놀이를 지내기 시작했다고 전해진다. 매년 음력 7월 15일 백중날이면 괴양리의 세 마을이 모여 기세배와 지네밟기를 하며 예를 갖추고 결속을 높였다. 전국예술경연대회이후 놀이의 원형과 장소가 약간 변하기는 했으나 괴양리의 삼동굿에서만 볼 수 있는 독특한 놀이이며, 전통을 지켜온 노력과 단합하는 모습을 보며 함께 풍수놀이를 즐길수 있는 축제이다."
"삼동굿놀이는 매년 언제 열리며, 그 기념일이나 의미가 무엇인가요? 축제의 주요 행사일과 의식을 설명해주세요.","남원시 보절면 괴양리에는 지네에 관한 특별한 설화가 내려온다. 400여년전쯤 양촌마을아래 영계욕진이라는 명당이 있었는데 양촌마을을 바라보는 지네혈이 명당을 해칠 우려가 커, 이를 막기위해 비보숲을 조성하고 삼동굿놀이를 지내기 시작했다고 전해진다. 매년 음력 7월 15일 백중날이면 괴양리의 세 마을이 모여 기세배와 지네밟기를 하며 예를 갖추고 결속을 높였다. 전국예술경연대회이후 놀이의 원형과 장소가 약간 변하기는 했으나 괴양리의 삼동굿에서만 볼 수 있는 독특한 놀이이며, 전통을 지켜온 노력과 단합하는 모습을 보며 함께 풍수놀이를 즐길수 있는 축제이다."
삼동굿놀이의 역사나 유래에 대해 더 자세히 알려주실 수 있나요? 이 축제가 시작된 배경과 그 이후의 변화를 설명해주세요.,"남원시 보절면 괴양리에는 지네에 관한 특별한 설화가 내려온다. 400여년전쯤 양촌마을아래 영계욕진이라는 명당이 있었는데 양촌마을을 바라보는 지네혈이 명당을 해칠 우려가 커, 이를 막기위해 비보숲을 조성하고 삼동굿놀이를 지내기 시작했다고 전해진다. 매년 음력 7월 15일 백중날이면 괴양리의 세 마을이 모여 기세배와 지네밟기를 하며 예를 갖추고 결속을 높였다. 전국예술경연대회이후 놀이의 원형과 장소가 약간 변하기는 했으나 괴양리의 삼동굿에서만 볼 수 있는 독특한 놀이이며, 전통을 지켜온 노력과 단합하는 모습을 보며 함께 풍수놀이를 즐길수 있는 축제이다."
삼동굿놀이가 지역사회에 미치는 영향에 대해 언급이 있습니다. 삼동굿놀이를 통해 어떻게 지역사회가 협력하고 문화를 보존하며 발전하고 있는지 설명해주세요.,"남원시 보절면 괴양리에는 지네에 관한 특별한 설화가 내려온다. 400여년전쯤 양촌마을아래 영계욕진이라는 명당이 있었는데 양촌마을을 바라보는 지네혈이 명당을 해칠 우려가 커, 이를 막기위해 비보숲을 조성하고 삼동굿놀이를 지내기 시작했다고 전해진다. 매년 음력 7월 15일 백중날이면 괴양리의 세 마을이 모여 기세배와 지네밟기를 하며 예를 갖추고 결속을 높였다. 전국예술경연대회이후 놀이의 원형과 장소가 약간 변하기는 했으나 괴양리의 삼동굿에서만 볼 수 있는 독특한 놀이이며, 전통을 지켜온 노력과 단합하는 모습을 보며 함께 풍수놀이를 즐길수 있는 축제이다."
남원 막걸리 축제는 어느 계절에 열리는 지역 축제인가요? 축제가 열리는 시기와 그 시기에 어떤 활동과 프로그램이 기획되는지 알려주세요.,남원 막걸리 축제는 여름밤의 더위와 함께 시원한 남원의 지역 생산 막걸리를 마시며 지역 문화공연을 감상하며 즐기며 오늘 하루 있었던 일을 소통하며 정리하는 시간을 가질 수 있는 시간이 되어줄 것입니다. 또한 지역에서 생산한 막걸리를 홍보하여 막걸리의 정보도 알아가고 마셔보며 막걸리를 구매할 수 있는 시간도 준비되어 있습니다.
남원 막걸리 축제를 통해 막걸리 제조과정과 지역 생산 막걸리의 특별한 맛을 경험할 수 있는 기회가 제공되나요?,남원 막걸리 축제는 여름밤의 더위와 함께 시원한 남원의 지역 생산 막걸리를 마시며 지역 문화공연을 감상하며 즐기며 오늘 하루 있었던 일을 소통하며 정리하는 시간을 가질 수 있는 시간이 되어줄 것입니다. 또한 지역에서 생산한 막걸리를 홍보하여 막걸리의 정보도 알아가고 마셔보며 막걸리를 구매할 수 있는 시간도 준비되어 있습니다.
남원 막걸리 축제의 주요 행사나 프로그램에 대해 알려주세요. 지역 문화공연이나 다른 활동들이 어떻게 축제를 더욱 풍성하게 만드는지 설명해주세요.,남원 막걸리 축제는 여름밤의 더위와 함께 시원한 남원의 지역 생산 막걸리를 마시며 지역 문화공연을 감상하며 즐기며 오늘 하루 있었던 일을 소통하며 정리하는 시간을 가질 수 있는 시간이 되어줄 것입니다. 또한 지역에서 생산한 막걸리를 홍보하여 막걸리의 정보도 알아가고 마셔보며 막걸리를 구매할 수 있는 시간도 준비되어 있습니다.
남원 막걸리 축제는 지역 문화와 지역 생산물을 홍보하는 목적으로 열리는 것으로 보입니다. 이를 통해 지역사회에 어떤 긍정적인 영향을 미치고 있나요?,남원 막걸리 축제는 여름밤의 더위와 함께 시원한 남원의 지역 생산 막걸리를 마시며 지역 문화공연을 감상하며 즐기며 오늘 하루 있었던 일을 소통하며 정리하는 시간을 가질 수 있는 시간이 되어줄 것입니다. 또한 지역에서 생산한 막걸리를 홍보하여 막걸리의 정보도 알아가고 마셔보며 막걸리를 구매할 수 있는 시간도 준비되어 있습니다.
남원 막걸리 축제에 참가하는 사람들은 어떤 경험을 얻을 수 있을까요? 축제에 참석하는 이들이 기대할 수 있는 즐거운 활동과 행사에 대해 자세히 알려주세요.,남원 막걸리 축제는 여름밤의 더위와 함께 시원한 남원의 지역 생산 막걸리를 마시며 지역 문화공연을 감상하며 즐기며 오늘 하루 있었던 일을 소통하며 정리하는 시간을 가질 수 있는 시간이 되어줄 것입니다. 또한 지역에서 생산한 막걸리를 홍보하여 막걸리의 정보도 알아가고 마셔보며 막걸리를 구매할 수 있는 시간도 준비되어 있습니다.
"남원요천비치페스티벌은 언제, 어떤 장소에서 열리는 행사인가요? 행사의 일정과 장소를 자세히 설명해주세요.","요천 수경 공간에 마련된 워터 슬라이드 풀을 배경으로 물총 전쟁, 음악과 함께 하는 요천비치 쉼크닉 등 역동적인 물놀이를 즐길 수 있는 행사를 상시 운영하며, 축제장 주변에서는 페이스페인팅, 타투, 네일아트 등 체험 행사로 축제의 재미를 더할 계획이다. 또한 먹거리도 지역의 색을 입혀 제대로 선보인다. 남원의 특산물인 흑돼지, 오미자 등 고품질의 농산물을 엄선하여 개발한 흑돼지 핫도그, 흑돼지 덮밥, 오미자 에이드, 칠리치즈나쵸가 관광객들의 입맛을 사로잡을 것으로 기대하고 있다. 무더위를 날려줄 시원한 물줄기로, 잊지 못할 한여름의 추억을 만들고 싶다면 남원 요천으로 Go!Go!"
남원요천비치페스티벌에서 어떤 물놀이 활동과 레저 활동을 즐길 수 있는지 알려주세요. 워터 슬라이드 풀과 물총 전쟁 같은 역동적인 물놀이뿐만 아니라 다른 레저 활동도 어떻게 구성되어 있는지 알려주세요.,"요천 수경 공간에 마련된 워터 슬라이드 풀을 배경으로 물총 전쟁, 음악과 함께 하는 요천비치 쉼크닉 등 역동적인 물놀이를 즐길 수 있는 행사를 상시 운영하며, 축제장 주변에서는 페이스페인팅, 타투, 네일아트 등 체험 행사로 축제의 재미를 더할 계획이다. 또한 먹거리도 지역의 색을 입혀 제대로 선보인다. 남원의 특산물인 흑돼지, 오미자 등 고품질의 농산물을 엄선하여 개발한 흑돼지 핫도그, 흑돼지 덮밥, 오미자 에이드, 칠리치즈나쵸가 관광객들의 입맛을 사로잡을 것으로 기대하고 있다. 무더위를 날려줄 시원한 물줄기로, 잊지 못할 한여름의 추억을 만들고 싶다면 남원 요천으로 Go!Go!"
